Supplier,Launch Markets,Market Tags
AE Solar,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Aiko Solar,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
AlphaESS,"Europe, SEA, AUS","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Anker Solix,"US, EU, JP","US, UK, DE, NL, FR"
BYD,Global,"US, UK, DE, FR, PL, RO, AUS, SG, MY, PH, ID, TH, VN, UAE"
CATL,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
CRRC,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
DAS Solar,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Deye,"Europe, SEA, AUS","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Dyness,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
EGing,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Emporia,US,US
Enphase,"Global (US, EU, AUS)","US, DE, FR, BE, NL, PL, RO, AUS, UK"
EVE Energy,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Fluence,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Fox ESS,"EU, AUS, SEA","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Fronius,"Global (EU, US, AUS)","US, DE, FR, BE, NL, PL, RO, AUS, UK"
GoodWe,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Gotion Hightech,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Growatt,"EU, AUS, SEA, UAE","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Hithium,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Hoymiles,"EU, AUS, SEA","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
HUASUN,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Huawei,"Global (US, EU, AUS, SEA, UAE)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Hypontech,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
JA Solar,"Global (US, EU, AUS, SEA, UAE)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Jinko Solar,"Global (US, EU, AUS, SEA, UAE)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Kehua,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
LONGi,"Global (US, EU, AUS, SEA, UAE)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Mingyang,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
myEnergi,UK,UK
Narada,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Risen Energy,"Global (US, EU, AUS, SEA, UAE)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Schneider Electric (Wiser),"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Shelly,"DE, NL, FR","DE, NL, FR"
SHANGHAI Electric,"Global (US, EU, AUS, SEA, UAE)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Sigenergy,"Global (EU, US, AUS)","US, DE, FR, BE, NL, PL, RO, AUS, UK"
SMA,"Global (EU, US, AUS)","US, DE, FR, BE, NL, PL, RO, AUS, UK"
SolaX,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
SolarEdge,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Solargiga,"Global (EU, AUS, SEA)","DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Sungrow,"Global (US, EU, SEA, UAE)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Sunology,"FR, BE","FR, BE"
SUNTECH,"Global (US, EU, AUS, SEA, UAE)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Sense,"US, CA",US
Tesla,"Global (US, EU, AUS, SEA, UAE)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
TCL Zhonghuan,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Tongwei,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Trina Solar,"Global (US, EU, AUS, SEA, UAE)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK, UAE"
Yingli Solar,"Global (US, EU, AUS, SEA)","US, DE, FR, BE, ID, MY, PH, NL, PL, RO, TH, VN, AUS, SG, UK"
Zendure,"Europe, US, JP ","US, DE, FR, BE, NL, PL, RO, UK"